"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0105	0.015	0.0153	0.0172	0.0184	0.0172	0.0185	0.0039	0.0041	0.0043	0.0055	0.0062	0	2183.2603	1	5	3	"root"	-55148.9216	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0105	0.015	0.0153	0.0172	0.0184	0.0172	0.0185	0.0039	0.0041	0.0043	0.0055	0.0062	1e-04	535.7404	2	6	2	"root"	-36766.1235	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0105	0.0156	0.0154	0.0171	0.0178	0.0186	0.0185	0.0045	0.0033	0.0041	0.0038	9e-04	0	946.419	1	3	1	"root"	-18109.7685	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	2079.3884	1	4	2	"root"	-36235.6254	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	1672.9768	1	5	3	"root"	-54353.5378	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	1860.3262	2	6	2	"root"	-36235.539	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0103	0.0158	0.0151	0.02	0.0173	0.0191	0.0193	0.0042	0.004	0.0055	0.0046	0.0011	0	2109.5589	1	3	1	"root"	-18744.5241	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.01	0.0157	0.0149	0.0199	0.0172	0.019	0.0192	0.004	0.0037	0.0052	0.0044	0.0058	1e-04	790.3083	1	4	2	"root"	-37500.6875	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.01	0.0157	0.0149	0.0199	0.0172	0.019	0.0192	0.004	0.0037	0.0052	0.0044	0.0058	1e-04	773.4519	1	5	3	"root"	-56247.6553	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.01	0.0157	0.0149	0.0199	0.0172	0.019	0.0192	0.004	0.0037	0.0052	0.0044	0.0058	1e-04	420.3709	2	6	2	"root"	-37494.9193	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0111	0.01	0.0159	0.0141	0.0199	0.0175	0.0179	0.019	0.0041	0.0036	0.0037	0.0039	9e-04	0	2103.831	1	3	1	"root"	-18289.9657	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0108	0.0098	0.0158	0.014	0.0198	0.0174	0.0179	0.019	0.0039	0.0034	0.0035	0.0037	0.0045	1e-04	671.4359	1	4	2	"root"	-36594.453	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0108	0.0098	0.0158	0.014	0.0198	0.0174	0.0179	0.019	0.0039	0.0034	0.0035	0.0037	0.0045	1e-04	810.1608	1	5	3	"root"	-54891.4801	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0108	0.0098	0.0158	0.014	0.0198	0.0174	0.0179	0.019	0.0039	0.0034	0.0035	0.0037	0.0045	0	2005.2231	2	6	2	"root"	-36594.3104	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0087	0.0148	0.0154	0.0186	0.0178	0.0203	0.0192	0.0043	0.0035	0.0034	0.0039	0.001	0	1893.5077	1	3	1	"root"	-18118.3283	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0085	0.0147	0.0153	0.0185	0.0177	0.0202	0.0191	0.0041	0.0033	0.0032	0.0037	0.0043	1e-04	957.8	1	4	2	"root"	-36250.0208	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0085	0.0147	0.0153	0.0185	0.0177	0.0202	0.0191	0.0041	0.0033	0.0032	0.0037	0.0043	0	1738.513	1	5	3	"root"	-54374.6129	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0085	0.0147	0.0153	0.0185	0.0177	0.0202	0.0191	0.0041	0.0033	0.0032	0.0037	0.0043	0	1828.1005	2	6	2	"root"	-36249.8797	0
