"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0119	0.0153	0.0146	0.0083	0.0082	0.0083	0.0087	0.0107	0.0122	0.0135	0.0087	0.041	0.001	999.5126	1	3	1	"root"	-19071.6079	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0119	0.0153	0.0146	0.0084	0.0082	0.0083	0.0087	0.0109	0.0122	0.0134	0.0091	0.0408	0.001	999.5727	1	4	2	"root"	-38139.2446	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0119	0.0152	0.0147	0.0085	0.0083	0.0083	0.0087	0.0107	0.0121	0.0135	0.0087	0.0409	0.001	999.4983	1	5	3	"root"	-57206.293	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0106	0.0122	0.0153	0.0146	0.0083	0.0082	0.0083	0.0084	0.0108	0.0122	0.0135	0.009	0.0408	0.001	999.573	2	6	2	"root"	-38135.5843	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0095	0.0139	0.016	0.0073	0.0081	0.0074	0.0083	0.0123	0.0122	0.0119	0.0114	0.04	0.001	999.1151	1	3	1	"root"	-18408.4431	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0096	0.0139	0.0161	0.0074	0.0081	0.0075	0.0082	0.0126	0.0125	0.0119	0.0108	0.04	0.001	999.2935	1	4	2	"root"	-36813.7179	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0095	0.0139	0.016	0.0074	0.0081	0.0075	0.0083	0.0123	0.0123	0.0119	0.0113	0.04	0.001	999.6866	1	5	3	"root"	-55219.543	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0095	0.0139	0.016	0.0074	0.0081	0.0075	0.0082	0.0123	0.0123	0.0119	0.0113	0.04	0.001	999.5703	2	6	2	"root"	-36813.7898	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0109	0.0152	0.0143	0.0084	0.008	0.0081	0.0082	0.0122	0.013	0.0122	0.0106	0.04	0.001	999.4854	1	3	1	"root"	-18915.7822	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0112	0.0152	0.0145	0.0085	0.0081	0.0082	0.0083	0.0121	0.0124	0.0121	0.0115	0.04	0.001	999.9406	1	4	2	"root"	-37828.3955	0
